date,category,amount,description
2024-02-14,health,58974,Health expense
2024-02-14,health,76207,Health expense
2024-02-14,food & beverages,54952,Food
2024-02-14,other,23006,Other expense
2024-02-15,food & beverages,30719,Beverage
2024-02-15,food & beverages,15175,Beverage
2024-02-15,transportation,48900,Transportation expense
2024-02-15,transportation,12100,Transportation expense
2024-02-15,food & beverages,61070,Food
2024-02-15,health,29329,Health expense
2024-02-15,utilities,97304,Internet
2024-02-15,utilities,75723,Water bill
2024-02-16,utilities,38643,Internet
2024-02-16,food & beverages,35159,Beverage
2024-02-16,transportation,47300,Transportation expense
2024-02-16,other,67560,Other expense
2024-02-17,transportation,42400,Transportation expense
2024-02-19,entertainment,453526,Shopping
2024-03-01,health,300000,Gym membership
2024-03-01,utilities,23783,Electric bill
2024-03-01,other,89806,Other expense
2024-03-01,utilities,60730,Water bill
2024-03-01,transportation,46200,Transportation expense
2024-03-01,transportation,24700,Transportation expense
2024-03-01,other,24871,Other expense
2024-03-01,transportation,17700,Transportation expense
2024-03-01,utilities,85323,Water bill
2024-03-02,food & beverages,79241,Food
2024-03-02,transportation,39900,Transportation expense
2024-03-02,transportation,35100,Transportation expense
2024-03-02,food & beverages,63909,Food
2024-03-02,health,29150,Health expense
2024-03-02,food & beverages,42193,Food
2024-03-02,food & beverages,32509,Food
2024-03-02,health,57072,Health expense
2024-03-02,utilities,39476,Tax
2024-03-03,food & beverages,50614,Food
2024-03-03,transportation,31100,Transportation expense
2024-03-03,health,111422,Health expense
2024-03-03,food & beverages,71099,Beverage
2024-03-03,utilities,61704,Electric bill
2024-03-03,utilities,70604,Tax
2024-03-03,other,95461,Other expense
2024-03-03,other,74923,Other expense
2024-03-03,other,26547,Other expense
2024-03-03,transportation,48700,Transportation expense
2024-03-03,food & beverages,70380,Beverage
2024-03-03,transportation,44500,Transportation expense
2024-03-04,entertainment,175578,Arcade
2024-03-04,health,40232,Health expense
2024-03-04,food & beverages,32368,Food
2024-03-04,food & beverages,57587,Food
2024-03-04,food & beverages,59194,Beverage
2024-03-04,health,69808,Health expense
2024-03-04,other,92155,Other expense
2024-03-04,utilities,90912,Tax
2024-03-04,food & beverages,56363,Beverage
2024-03-04,utilities,49817,Internet
2024-03-04,utilities,32903,Tax
2024-03-04,utilities,78153,Electric bill
2024-03-05,health,26028,Health expense
2024-03-05,food & beverages,38492,Beverage
2024-03-05,transportation,19500,Transportation expense
2024-03-05,food & beverages,59682,Food
2024-03-05,utilities,42946,Water bill
2024-03-05,food & beverages,55613,Food
2024-03-05,utilities,96435,Tax
2024-03-06,entertainment,434445,Cinema
2024-03-06,transportation,10600,Transportation expense
2024-03-06,health,80981,Health expense
2024-03-06,health,108815,Health expense
2024-03-06,transportation,14800,Transportation expense
2024-03-06,transportation,32600,Transportation expense
2024-03-06,other,49210,Other expense
2024-03-07,utilities,59599,Tax
2024-03-07,food & beverages,46667,Beverage
2024-03-07,food & beverages,38524,Beverage
2024-03-07,transportation,29300,Transportation expense
2024-03-07,food & beverages,40939,Food
2024-03-07,food & beverages,59944,Food
2024-03-07,utilities,99482,Electric bill
2024-03-07,utilities,50162,Internet
2024-03-07,transportation,33100,Transportation expense
2024-03-07,food & beverages,31425,Beverage
2024-03-07,utilities,32735,Water bill
2024-03-07,health,104717,Health expense
2024-03-07,food & beverages,17186,Food
2024-03-07,transportation,18600,Transportation expense
2024-03-07,food & beverages,63986,Beverage
2024-03-08,entertainment,169289,Cinema
2024-03-08,transportation,27900,Transportation expense
2024-03-08,health,53681,Health expense
2024-03-08,other,73156,Other expense
2024-03-08,other,48684,Other expense
2024-03-08,utilities,35095,Internet
2024-03-08,transportation,14900,Transportation expense
2024-03-08,food & beverages,71370,Food
2024-03-08,utilities,93048,Tax
2024-03-08,transportation,35900,Transportation expense
2024-03-08,food & beverages,44804,Food
2024-03-09,utilities,68689,Tax
2024-03-09,food & beverages,16640,Beverage
2024-03-09,transportation,46800,Transportation expense
2024-03-09,food & beverages,57444,Food
2024-03-09,food & beverages,74597,Food
2024-03-09,utilities,35292,Tax
2024-03-09,food & beverages,34946,Food
2024-03-09,other,25220,Other expense
2024-03-09,food & beverages,23890,Food
2024-03-09,transportation,34300,Transportation expense
2024-03-10,utilities,96983,Tax
2024-03-10,utilities,74379,Water bill
2024-03-10,utilities,73492,Tax
2024-03-10,other,46666,Other expense
2024-03-10,food & beverages,44057,Beverage
2024-03-10,transportation,25500,Transportation expense
2024-03-10,health,33022,Health expense
2024-03-10,other,58147,Other expense
2024-03-10,transportation,33500,Transportation expense
2024-03-10,food & beverages,78452,Beverage
2024-03-10,food & beverages,44800,Food
2024-03-10,food & beverages,56909,Beverage
2024-03-10,transportation,11400,Transportation expense
2024-03-10,food & beverages,79803,Beverage
2024-03-10,food & beverages,19496,Food
2024-03-11,entertainment,213220,Karaoke
2024-03-11,food & beverages,74017,Beverage
2024-03-11,transportation,28200,Transportation expense
2024-03-11,health,38964,Health expense
2024-03-11,other,80807,Other expense
2024-03-11,food & beverages,58323,Beverage
2024-03-11,health,37275,Health expense
2024-03-11,food & beverages,30593,Food
2024-03-11,transportation,11000,Transportation expense
2024-03-11,food & beverages,63609,Beverage
2024-03-11,transportation,17400,Transportation expense
2024-03-11,utilities,78756,Tax
2024-03-11,utilities,79245,Electric bill
2024-03-12,entertainment,422493,Shopping
2024-03-12,utilities,80036,Internet
2024-03-12,utilities,27972,Electric bill
2024-03-12,other,62640,Other expense
2024-03-12,transportation,17100,Transportation expense
2024-03-12,transportation,39100,Transportation expense
2024-03-12,food & beverages,54865,Beverage
2024-03-12,food & beverages,55915,Beverage
2024-03-12,transportation,45900,Transportation expense
2024-03-12,utilities,98301,Tax
2024-03-12,transportation,39700,Transportation expense
2024-03-12,transportation,38200,Transportation expense
2024-03-12,food & beverages,70888,Food
2024-03-13,utilities,76370,Water bill
2024-03-13,transportation,25000,Transportation expense
2024-03-13,transportation,39700,Transportation expense
2024-03-13,transportation,16200,Transportation expense
2024-03-13,food & beverages,31704,Beverage
2024-03-13,transportation,20000,Transportation expense
2024-03-13,utilities,28799,Tax
2024-03-13,food & beverages,43303,Beverage
2024-03-13,food & beverages,68200,Food
2024-03-13,food & beverages,77693,Beverage
2024-03-13,transportation,31600,Transportation expense
2024-03-13,utilities,66346,Tax
2024-03-13,health,118341,Health expense
2024-03-13,transportation,13400,Transportation expense
2024-03-13,other,88696,Other expense
2024-03-14,transportation,23900,Transportation expense
2024-03-14,food & beverages,70527,Food
2024-03-14,food & beverages,39088,Food
2024-03-14,food & beverages,29821,Beverage
2024-03-14,utilities,99822,Electric bill
2024-03-14,other,45054,Other expense
2024-03-15,food & beverages,24388,Beverage
2024-03-16,entertainment,431964,Shopping
2024-04-01,health,300000,Gym membership
2024-04-01,other,21551,Other expense
2024-04-01,transportation,16900,Transportation expense
2024-04-01,food & beverages,49338,Food
2024-04-01,food & beverages,63877,Food
2024-04-01,food & beverages,26018,Beverage
2024-04-01,food & beverages,49773,Food
2024-04-01,transportation,32900,Transportation expense
2024-04-01,food & beverages,57299,Food
2024-04-01,utilities,33474,Water bill
2024-04-01,food & beverages,54478,Beverage
2024-04-01,food & beverages,19938,Food
2024-04-02,transportation,40400,Transportation expense
2024-04-02,utilities,93989,Tax
2024-04-02,utilities,61436,Internet
2024-04-02,food & beverages,43980,Beverage
2024-04-02,transportation,28000,Transportation expense
2024-04-02,transportation,33100,Transportation expense
2024-04-02,transportation,30300,Transportation expense
2024-04-03,food & beverages,20028,Food
2024-04-03,utilities,97867,Electric bill
2024-04-03,transportation,40300,Transportation expense
2024-04-03,transportation,12700,Transportation expense
2024-04-03,transportation,47500,Transportation expense
2024-04-03,utilities,99299,Internet
2024-04-03,transportation,19900,Transportation expense
2024-04-03,other,69050,Other expense
2024-04-03,food & beverages,37507,Food
2024-04-03,other,21053,Other expense
2024-04-03,transportation,21300,Transportation expense
2024-04-03,food & beverages,79945,Food
2024-04-04,transportation,33800,Transportation expense
2024-04-04,transportation,28500,Transportation expense
2024-04-04,transportation,32200,Transportation expense
2024-04-04,utilities,63863,Electric bill
2024-04-04,food & beverages,59458,Beverage
2024-04-04,transportation,26500,Transportation expense
2024-04-04,utilities,63694,Water bill
2024-04-04,food & beverages,75079,Food
2024-04-04,food & beverages,60775,Food
2024-04-04,utilities,97993,Water bill
2024-04-04,utilities,60577,Electric bill
2024-04-04,transportation,31500,Transportation expense
2024-04-05,health,116832,Health expense
2024-04-05,other,78995,Other expense
2024-04-05,food & beverages,48324,Food
2024-04-05,food & beverages,26813,Beverage
2024-04-05,other,54791,Other expense
2024-04-05,other,73736,Other expense
2024-04-05,food & beverages,25154,Food
2024-04-06,entertainment,153026,Shopping
2024-04-06,utilities,98282,Water bill
2024-04-06,transportation,20600,Transportation expense
2024-04-06,food & beverages,55942,Food
2024-04-06,utilities,77366,Water bill
2024-04-06,food & beverages,62158,Beverage
2024-04-07,transportation,39400,Transportation expense
2024-04-07,food & beverages,78281,Beverage
2024-04-07,utilities,45430,Tax
2024-04-07,transportation,47400,Transportation expense
2024-04-07,other,70513,Other expense
2024-04-07,utilities,85916,Tax
2024-04-07,transportation,20600,Transportation expense
2024-04-07,utilities,52768,Water bill
2024-04-08,health,92684,Health expense
2024-04-08,other,77621,Other expense
2024-04-08,health,57363,Health expense
2024-04-08,food & beverages,44446,Beverage
2024-04-08,health,39313,Health expense
2024-04-09,entertainment,216411,Arcade
2024-04-09,health,23495,Health expense
2024-04-09,transportation,36000,Transportation expense
2024-04-09,transportation,25500,Transportation expense
2024-04-09,transportation,15300,Transportation expense
2024-04-09,transportation,11800,Transportation expense
2024-04-09,food & beverages,61838,Beverage
2024-04-09,utilities,38035,Water bill
2024-04-09,food & beverages,45962,Food
2024-04-09,utilities,81487,Water bill
2024-04-09,transportation,10300,Transportation expense
2024-04-10,entertainment,213065,Karaoke
2024-04-10,transportation,49900,Transportation expense
2024-04-10,transportation,17300,Transportation expense
2024-04-10,utilities,59472,Water bill
2024-04-10,food & beverages,56874,Beverage
2024-04-10,utilities,28232,Tax
2024-04-11,transportation,45100,Transportation expense
2024-04-11,food & beverages,30855,Food
2024-04-11,utilities,76261,Internet
2024-04-11,food & beverages,52399,Beverage
2024-04-11,transportation,15600,Transportation expense
2024-04-11,transportation,33600,Transportation expense
2024-04-12,transportation,43300,Transportation expense
2024-04-12,transportation,35600,Transportation expense
2024-04-12,health,25706,Health expense
2024-04-12,transportation,34500,Transportation expense
2024-04-12,food & beverages,66676,Beverage
2024-04-12,food & beverages,58063,Beverage
2024-04-13,entertainment,405084,Cinema
2024-04-13,food & beverages,37187,Beverage
2024-04-13,utilities,80899,Water bill
2024-04-13,other,72722,Other expense
2024-04-13,transportation,18800,Transportation expense
2024-04-13,food & beverages,44994,Food
2024-04-13,food & beverages,66846,Beverage
2024-04-13,food & beverages,76169,Beverage
2024-04-13,food & beverages,68438,Beverage
2024-04-13,transportation,26600,Transportation expense
2024-04-13,food & beverages,33750,Food
2024-04-13,food & beverages,71740,Food
2024-04-13,utilities,36315,Internet
2024-04-13,utilities,72431,Tax
2024-04-13,utilities,64438,Tax
2024-04-14,transportation,44000,Transportation expense
2024-04-14,food & beverages,42820,Beverage
2024-04-14,food & beverages,68892,Food
2024-04-14,food & beverages,21723,Beverage
2024-04-14,food & beverages,35086,Food
2024-04-14,transportation,37900,Transportation expense
2024-04-14,food & beverages,44303,Food
2024-04-15,other,90589,Other expense
2024-04-15,other,45986,Other expense
2024-04-15,utilities,29835,Electric bill
2024-04-15,utilities,67619,Tax
2024-04-15,transportation,20500,Transportation expense
2024-04-16,entertainment,418543,Arcade
2024-04-16,food & beverages,66020,Beverage
2024-04-16,utilities,70181,Internet
2024-04-16,other,14244,Other expense
2024-04-16,transportation,39500,Transportation expense
2024-04-17,utilities,89397,Water bill
2024-04-17,transportation,30600,Transportation expense
2024-04-17,utilities,34869,Water bill
2024-04-17,food & beverages,48930,Beverage
2024-04-17,transportation,46800,Transportation expense
2024-04-17,food & beverages,61139,Food
2024-04-17,transportation,28700,Transportation expense
2024-04-17,utilities,46237,Tax
2024-04-17,food & beverages,44625,Food
2024-04-17,food & beverages,20753,Food
2024-04-18,other,97535,Other expense
2024-04-18,food & beverages,50531,Beverage
2024-04-18,food & beverages,25322,Beverage
2024-04-18,utilities,67381,Water bill
2024-04-18,transportation,18000,Transportation expense
2024-04-18,other,28202,Other expense
2024-04-18,food & beverages,38651,Food
2024-04-18,transportation,34200,Transportation expense
2024-04-18,transportation,46200,Transportation expense
2024-04-18,food & beverages,19308,Food
2024-04-18,food & beverages,62111,Food
2024-04-18,transportation,36900,Transportation expense
2024-04-18,utilities,36426,Electric bill
2024-04-18,other,94192,Other expense
2024-04-18,food & beverages,48905,Food
2024-04-19,entertainment,389041,Karaoke
2024-05-01,health,300000,Gym membership
2024-05-01,transportation,13900,Transportation expense
2024-05-01,food & beverages,45437,Food
2024-05-01,food & beverages,35485,Food
2024-05-01,health,61853,Health expense
2024-05-01,utilities,72260,Internet
2024-05-01,food & beverages,51808,Beverage
2024-05-01,food & beverages,23029,Beverage
2024-05-01,food & beverages,21344,Beverage
2024-05-01,food & beverages,71633,Food
2024-05-01,transportation,26300,Transportation expense
2024-05-01,other,30932,Other expense
2024-05-01,utilities,44881,Internet
2024-05-01,utilities,87466,Tax
2024-05-01,transportation,30200,Transportation expense
2024-05-02,entertainment,306172,Arcade
2024-05-02,other,38199,Other expense
2024-05-02,transportation,13200,Transportation expense
2024-05-02,food & beverages,72824,Food
2024-05-02,health,108148,Health expense
2024-05-02,transportation,45200,Transportation expense
2024-05-02,food & beverages,23777,Beverage
2024-05-02,health,115355,Health expense
2024-05-02,transportation,36400,Transportation expense
2024-05-02,transportation,36300,Transportation expense
2024-05-02,food & beverages,38758,Food
2024-05-02,transportation,14800,Transportation expense
2024-05-03,utilities,35572,Internet
2024-05-03,food & beverages,39457,Beverage
2024-05-03,utilities,93116,Internet
2024-05-03,other,28909,Other expense
2024-05-03,food & beverages,47773,Food
2024-05-03,food & beverages,61765,Beverage
2024-05-03,food & beverages,44949,Food
2024-05-03,food & beverages,24160,Food
2024-05-03,food & beverages,25649,Food
2024-05-03,transportation,29600,Transportation expense
2024-05-03,transportation,43200,Transportation expense
2024-05-04,utilities,82245,Internet
2024-05-04,utilities,63416,Internet
2024-05-04,utilities,96507,Tax
2024-05-04,food & beverages,72153,Food
2024-05-04,utilities,98238,Electric bill
2024-05-04,transportation,47900,Transportation expense
2024-05-04,transportation,13400,Transportation expense
2024-05-04,transportation,21200,Transportation expense
2024-05-04,transportation,34900,Transportation expense
2024-05-04,food & beverages,17069,Food
2024-05-04,transportation,17200,Transportation expense
2024-05-04,food & beverages,42445,Food
2024-05-04,food & beverages,41894,Food
2024-05-05,other,18163,Other expense
2024-05-05,utilities,93516,Water bill
2024-05-05,food & beverages,49437,Food
2024-05-05,transportation,21300,Transportation expense
2024-05-05,transportation,44900,Transportation expense
2024-05-05,food & beverages,65593,Beverage
2024-05-05,health,109226,Health expense
2024-05-05,utilities,99963,Internet
2024-05-05,transportation,26200,Transportation expense
2024-05-05,food & beverages,76701,Beverage
2024-05-05,other,49008,Other expense
2024-05-05,utilities,84094,Water bill
2024-05-05,food & beverages,76190,Beverage
2024-05-06,entertainment,400667,Arcade
2024-05-06,health,71712,Health expense
2024-05-06,health,39198,Health expense
2024-05-06,food & beverages,61801,Beverage
2024-05-06,food & beverages,57989,Food
2024-05-06,food & beverages,28242,Food
2024-05-06,health,55537,Health expense
2024-05-06,other,45601,Other expense
2024-05-06,food & beverages,53458,Food
2024-05-07,entertainment,451185,Karaoke
2024-05-07,utilities,33133,Electric bill
2024-05-07,transportation,41000,Transportation expense
2024-05-07,food & beverages,15339,Food
2024-05-07,other,30701,Other expense
2024-05-07,transportation,41200,Transportation expense
2024-05-07,transportation,23100,Transportation expense
2024-05-07,utilities,62096,Internet
2024-05-08,health,31725,Health expense
2024-05-08,utilities,90143,Water bill
2024-05-08,utilities,42946,Electric bill
2024-05-08,transportation,21500,Transportation expense
2024-05-08,other,14763,Other expense
2024-05-08,other,62034,Other expense
2024-05-08,utilities,57941,Water bill
2024-05-08,health,21214,Health expense
2024-05-08,food & beverages,75847,Food
2024-05-09,entertainment,436232,Arcade
2024-05-09,health,37589,Health expense
2024-05-09,health,81344,Health expense
2024-05-09,food & beverages,36671,Food
2024-05-09,food & beverages,31860,Food
2024-05-09,utilities,64185,Electric bill
2024-05-09,utilities,43002,Water bill
2024-05-09,transportation,36600,Transportation expense
2024-05-09,health,87538,Health expense
2024-05-09,food & beverages,21251,Food
2024-05-10,transportation,26300,Transportation expense
2024-05-10,food & beverages,44277,Beverage
2024-05-10,utilities,59576,Internet
2024-05-10,transportation,47500,Transportation expense
2024-05-10,food & beverages,60401,Food
2024-05-10,food & beverages,45500,Food
2024-05-10,food & beverages,47933,Food
2024-05-11,utilities,68174,Internet
2024-05-11,transportation,24400,Transportation expense
2024-05-11,other,72676,Other expense
2024-05-11,food & beverages,54697,Food
2024-05-11,transportation,46000,Transportation expense
2024-05-11,other,80453,Other expense
2024-05-11,utilities,52435,Water bill
2024-05-11,utilities,88879,Electric bill
2024-05-11,transportation,33700,Transportation expense
2024-05-12,food & beverages,74171,Food
2024-05-12,transportation,47500,Transportation expense
2024-05-12,transportation,20800,Transportation expense
2024-05-12,food & beverages,22617,Food
2024-05-12,utilities,31919,Tax
2024-05-12,health,78390,Health expense
2024-05-13,transportation,39900,Transportation expense
2024-05-13,transportation,46600,Transportation expense
2024-05-13,transportation,30200,Transportation expense
2024-05-13,utilities,53352,Tax
2024-05-13,utilities,95800,Water bill
2024-05-14,entertainment,280632,Shopping
2024-05-14,transportation,13900,Transportation expense
2024-05-14,other,19046,Other expense
2024-05-14,other,71875,Other expense
2024-05-14,food & beverages,65395,Food
2024-05-14,food & beverages,62794,Food
2024-05-15,transportation,35100,Transportation expense
2024-05-15,transportation,34700,Transportation expense
2024-05-15,transportation,45300,Transportation expense
2024-05-15,food & beverages,22774,Food
2024-05-15,food & beverages,49658,Food
2024-05-15,food & beverages,69710,Food
